model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
prophet,Brazil,NA,7,new_cases,24870.14922683867,34249.72460691847,152.9664918848038,24870.14922683867,15474.947579846232,12071.046098353461,34342.38944245389,17682.422914029252,7796.588600082345,70362.18830089412,29240.172521927452,18377.613597567128,15274.56920973944,38744.327778092746,17834.123094160677,11278.062367634246,71263.78827296315,152.96649188480376,155.4092889149997,135.28110647028254,170.35763405646824,22.323153518105382,83.45933094892904,200,no_exog
prophet,China,NA,14,new_cases,27917.976660748955,216870.99802082262,68.56252596797258,27917.976660748955,7171.973676519507,1647.114730744885,17280.89043961415,63586.49359020574,881.6001206149306,273907.27084216976,71396.4250712097,8392.882631421002,2495.9008036997952,19127.807755895738,204781.78695772434,998.4070027367103,780113.8899321837,68.56252596797259,45.314617436890614,21.046040719434032,97.69532132043076,58.22268392343479,8.879426331884902,199.98836569076153,death_all
prophet,China,NA,14,new_cases,28364.0028078677,220274.3034154356,68.88458995448413,28364.002807867702,7229.3577968588,2495.7556848211298,17952.78179980607,64727.82189061882,343.81167737706386,280117.4065022141,72467.89867797574,8433.65506333175,2930.639360172587,19750.7645882995,208012.43329751716,462.1300752676913,790598.1140114054,68.88458995448411,37.77564543437563,28.78434582910832,97.2212607615222,57.30327084881073,5.13378266882366,199.98904863626618,death_mobility
prophet,China,NA,14,new_cases,28443.705097149432,220091.3472827663,70.15976230109679,28443.705097149425,7088.957786393983,2485.7196756347157,17915.186054378428,64721.53512962522,978.0746951807358,276889.3716626601,72475.74637520195,8257.705731496633,2840.9377883907155,19675.860673892414,207815.945817689,1074.996429355272,787940.1265523836,70.15976230109678,38.77616854739093,29.018948849824785,99.3326361167276,56.60988655574839,15.996859669272704,199.98900922927228,death_recovered
prophet,China,NA,14,new_cases,27910.543600366236,215992.12639735418,69.10412204898336,27910.543600366243,7167.4203679547245,1791.6660103557326,17366.22567269978,63395.36720062798,914.924301679883,273566.52653290605,71196.75423556381,8414.678373442388,2515.3445478487392,19148.24206518879,203920.62390050534,1048.0801574432062,772822.5648023047,69.10412204898337,43.63781751615879,23.485843484967347,100.27352743492467,58.1325093739711,10.028501048269355,199.98844086672378,death_stringency
prophet,China,NA,14,new_cases,10792.081469048713,15638.473641078253,78.87616452552663,10792.081469048713,8842.976582218642,3144.133056400286,17537.70559014802,8521.24307963969,966.1216374370478,33512.09610832904,12112.139620550677,10201.4490250285,3358.0655417874523,17703.20437420879,9892.31679815127,1126.5337317548056,39245.09230300356,78.8761645255266,53.59752630105675,45.382713259746176,107.93818093128498,51.89008100894607,18.400270666618347,199.98744206894875,no_exog
prophet,China,NA,28,new_cases,31693.91649316527,217752.3082400496,81.24055748114421,31693.91649316528,12473.444089442013,3516.6603857860146,25699.8941207361,47394.94950939838,909.5894133093509,156941.64331164115,98749.30552142595,17512.147161147393,4503.683846160609,29809.66901428501,194073.8065863233,1192.2302060914026,556055.8514976662,81.24055748114421,57.34173574613087,35.75389278553999,117.1405635875209,58.98252795076741,9.992243158215395,199.99374025066246,death_all
prophet,China,NA,28,new_cases,31932.054043560383,220895.7913211909,79.59537683265697,31932.054043560394,12479.384614813676,2642.838651377409,25521.737027521205,48348.71983794816,997.1239724561084,160322.64438447825,99842.08371227804,17792.199015767168,3064.0614731719534,29399.235206011195,197044.43393155152,1121.7197962457933,563601.8941163892,79.59537683265695,55.385053588001206,33.347043020498816,112.30075794613005,59.128911572058485,13.822450934056382,199.99408720567712,death_mobility
prophet,China,NA,28,new_cases,32028.485755368205,220766.27682293198,80.6357515024479,32028.485755368205,12611.761698572502,2764.8147142961334,25795.698340159302,48384.17256941706,1093.4052675581318,159859.46043444512,99834.08724719759,17980.976353506485,3266.7552659851663,29518.942896034037,196903.28591920037,1289.194047798853,561699.5323134244,80.63575150244792,56.98219660607823,33.022619734702644,115.05051073894018,58.796133472327774,17.975459094446585,199.9940667024261,death_recovered
prophet,China,NA,28,new_cases,31728.736160044384,217178.95060303097,81.96325498264294,31728.73616004439,12839.166042866927,3496.74916460896,26086.931007877498,47292.10459714355,942.5742568694603,156067.8083736508,98578.18707841421,17887.431188687704,4397.535371767646,29617.46682136028,193517.53826815527,1196.3228503934793,550891.1748238504,81.96325498264291,57.29590657391829,35.4814512926844,120.74058534125743,58.93690829661535,9.299858069813528,199.99377991344755,death_stringency
